UNIPROT,gene_name,difference,significant,logpval
P04217,A1BG,1.6438924531760335,NA,0.10019841932331451
Q9NQ94,A1CF,-0.20051720884744273,NA,1.1589238994218238
P01023,A2M,2.145346622210086,+,0.03192514345926139
A8K2U0,A2ML1,1.7143690879735711,NA,0.0864609619839534
Q9NPC4,A4GALT,0.1800187934685844,NA,0.8571378141669618
Q9NRG9,AAAS,0.1706734062231689,NA,0.8644805747393599
Q86V21,AACS,0.4032727869495936,NA,0.6867475588082632
P22760,AADAC,-1.6412044021329857,NA,1.899245007764879
Q8N5Z0,AADAT,-0.29944958947536465,NA,1.235402969999373
Q6PD74,AAGAB,0.4185478914648701,NA,0.6755465789622058
Q2M2I8,AAK1,0.4567518913342875,NA,0.6478493883223022
Q9H7C9,AAMDC,0.25793360981361374,NA,0.7964581453791746
Q13685,AAMP,0.14149830795660348,NA,0.8874762966499521
Q9Y312,AAR2,0.05348284401647433,NA,0.957347199575641
Q5JTZ9,AARS2,0.03959309826211543,NA,0.9684175299151816
Q9BTE6,AARSD1,0.2487683767311016,NA,0.8035399539421602
Q4L235,AASDH,-0.952101234475705,NA,1.658954356971725
Q9NRN7,AASDHPPT,0.3350706241247086,NA,0.7375718118070601
Q9UDR5,AASS,-0.08532015850453042,NA,1.0679931342028193
Q9NY61,AATF,-0.40833937577688817,NA,1.3169754651947558
P80404,ABAT,-0.06830643113173786,NA,1.0544582952144215
O95477,ABCA1,-0.5116174450889667,NA,1.3910812262287404
Q86UK0,ABCA12,-0.9813394876088508,NA,1.6735746438700205
Q9BZC7,ABCA2,-0.3725628268530848,NA,1.2905261561088701
Q99758,ABCA3,-0.16201047794273152,NA,1.1287023973261658
Q8WWZ7,ABCA5,-0.2760029477544407,NA,1.2174541978364908
Q8N139,ABCA6,0.15694642829554717,NA,0.8752870687491707
Q8IZY2,ABCA7,0.2811211025424663,NA,0.7786175160757423
O94911,ABCA8,-0.6153176968584487,NA,1.4616550672797815
P08183,ABCB1,-0.14631029528433817,NA,1.1163235611431308
Q9NRK6,ABCB10,-0.4536348743047292,NA,1.3499083516845758
Q9NP58,ABCB6,-0.1417043173156516,NA,1.1126864353669539
O75027,ABCB7,-0.15641760028893384,NA,1.1242961350985152
Q9NUT2,ABCB8,-0.06775625076077192,NA,1.0540203294802635
Q5T3U5,ABCC10,0.15516360411384142,NA,0.876692340442313
Q92887,ABCC2,0.3585669942501242,NA,0.7199190417574179
O15438,ABCC3,-0.29730661844139455,NA,1.2337675708110905
O15439,ABCC4,0.08286452378493199,NA,0.9339592629102549
O15440,ABCC5,-0.3425194342080451,NA,1.268039978880441
O60706,ABCC9,-1.4979735691166745,NA,1.8658598823209567
P33897,ABCD1,-0.12850219248283526,NA,1.1022484367400303
P28288,ABCD3,0.6382536114742653,NA,0.5233086035559582
O14678,ABCD4,-0.5743106040722951,NA,1.4342423653180592
P61221,ABCE1,1.174631163639577,NA,0.24014230989262167
Q8NE71,ABCF1,1.0058688322290423,NA,0.3144786708861004
Q9UG63,ABCF2,0.7749372838799332,NA,0.43837671961423064
Q9NUQ8,ABCF3,0.5116027144597213,NA,0.6089290853267502
P45844,ABCG1,-1.252444224654467,NA,1.7895919599770882
Q9UNQ0,ABCG2,-0.11393035284956858,NA,1.0907069958759592
Q9NUJ1,ABHD10,0.7023866148263536,NA,0.4824380904360087
Q8NFV4,ABHD11,0.40556332120438066,NA,0.6850634836044638
Q8N2K0,ABHD12,-0.0941647012139276,NA,1.0750216755049298
Q7L211,ABHD13,-1.368342309286854,NA,1.8287950468352716
Q9BUJ0,ABHD14A,0.3033972688055654,NA,0.7615871268266994
Q96IU4,ABHD14B,1.1663754820704837,NA,0.24346266694241353
O95870,ABHD16A,-0.0251535129131075,NA,1.0200674834675176
Q96GS6,ABHD17A,-2.036333005819154,+,1.958283072319912
Q5VST6,ABHD17B,-0.90524582283174,NA,1.634664828987146
Q6PCB6,ABHD17C,-1.385240432767356,NA,1.8340210388632334
P08910,ABHD2,0.07993320291469672,NA,0.9362903822012275
Q8WU67,ABHD3,-0.0734532931878346,NA,1.058554589741547
Q8TB40,ABHD4,-0.9677043694456416,NA,1.6668079646980185
Q8WTS1,ABHD5,-1.2176934774231098,NA,1.7766595233579987
Q9BV23,ABHD6,-0.5981449203349755,NA,1.4502567605451655
Q8IZP0,ABI1,0.7731480231765064,NA,0.43943478284791315
Q9NYB9,ABI2,-0.5015178430556679,NA,1.3839932765107803
Q9P2A4,ABI3,0.18458496302522623,NA,0.853554581035842
Q7Z7G0,ABI3BP,0.7015710810321436,NA,0.48294669170237764
P00519,ABL1,-0.5217734242386207,NA,1.3981719046412429
P42684,ABL2,-1.2246243846931173,NA,1.7792832240183114
O14639,ABLIM1,1.0227396720976536,NA,0.30643094855583997
Q6H8Q1,ABLIM2,1.0918671331784868,NA,0.274891505885994
O94929,ABLIM3,-0.3784811129994426,NA,1.2949267782360336
P16442,ABO,-0.692328623108427,NA,1.511269021153749
Q12979,ABR,0.47720639845636753,NA,0.6332151553146572
Q9P1F3,ABRACL,0.9165044956957862,NA,0.3594023505688704
Q6UWZ7,ABRAXAS1,-0.8148448038170818,NA,1.5848388488155774
Q15018,ABRAXAS2,0.22829774853911888,NA,0.8194147747541451
Q9ULW3,ABT1,-0.7525471460768103,NA,1.5482779112560783
Q969K4,ABTB1,-1.1237514001339193,NA,1.7388814957813268
Q8N961,ABTB2,-1.620085278039327,NA,1.8947860405851547
P09110,ACAA1,0.9375597966886364,NA,0.3484706802860531
P42765,ACAA2,1.2763771251439575,NA,0.20182223843815056
Q13085,ACACA,0.5114658269739155,NA,0.6090249113518305
O00763,ACACB,-0.5011389255777475,NA,1.3837266464884137
Q6JQN1,ACAD10,-0.4792083843228981,NA,1.3682096098239862
Q709F0,ACAD11,-1.3757767029659056,NA,1.8311092237100055
Q9UKU7,ACAD8,-0.11790018477229916,NA,1.0938532531571763
Q9H845,ACAD9,0.6242805186948992,NA,0.5324433756074497
P28330,ACADL,-0.9242290327852356,NA,1.6446329172525054
P11310,ACADM,1.124255608038151,NA,0.2609046049059613
P16219,ACADS,0.3208726153170194,NA,0.7483069273002219
P45954,ACADSB,-0.00816001706964402,NA,1.0065106793824588
P49748,ACADVL,1.3811598025998018,NA,0.1672298312847419
P16112,ACAN,0.9185265887087434,NA,0.35834324541690443
Q15027,ACAP1,0.26790686489027127,NA,0.7887710093850494
Q15057,ACAP2,0.6446194285247541,NA,0.5191738412685197
Q96P50,ACAP3,-1.9532105029082665,NA,1.9492053429410958
P24752,ACAT1,1.3940165222151537,NA,0.16331261539804612
Q9BWD1,ACAT2,1.0653934842241686,NA,0.28669790411534385
Q9H3P7,ACBD3,1.0163112954165343,NA,0.3094811714116906
Q5T8D3,ACBD5,-0.13148479966330273,NA,1.1046081897086375
Q9BR61,ACBD6,-0.2181159072063609,NA,1.172661196383453
Q8N6N7,ACBD7,-1.7495856023379044,NA,1.9198101541017019
Q96AP0,ACD,-1.0344722812987237,NA,1.6990845714009712
P12821,ACE,0.20547490299759263,NA,0.83720110427168
P22303,ACHE,-1.7257197428186624,NA,1.9156021555474863
Q9UKV3,ACIN1,1.4015995692434424,NA,0.16103485570780515
Q16570,ACKR1,-2.7614261580108215,+,1.994245047126939
P25106,ACKR3,-0.00215112134827165,NA,1.0017163451885187
P53396,ACLY,1.5052157079756825,NA,0.13226862797756747
P21399,ACO1,1.2482845547982129,NA,0.21192686836439464
Q99798,ACO2,1.5651502252430716,NA,0.11754768930030965
Q8WXI4,ACOT11,0.2742528759672873,NA,0.7838902960555346
Q9NPJ3,ACOT13,0.5823387480063513,NA,0.5603385305938248
P49753,ACOT2,1.9781259493391248,+,0.047914499842939565
O00154,ACOT7,1.0345466461762285,NA,0.3008806817988732
O14734,ACOT8,-0.1567442624105746,NA,1.1245535981495143
Q9Y305,ACOT9,0.8884743520810456,NA,0.374285646155209
Q15067,ACOX1,0.6722755741038036,NA,0.5014082767556025
Q99424,ACOX2,-0.14090309190658945,NA,1.1120535004691914
O15254,ACOX3,0.19350951213985176,NA,0.8465599572364206
P24666,ACP1,0.9509890260211022,NA,0.341609946677318
P11117,ACP2,0.3613450642692441,NA,0.7178415097697286
P13686,ACP5,-0.14562353560514182,NA,1.1157814126822467
Q9NPH0,ACP6,-0.7608177762371455,NA,1.5532340847008603
Q96CM8,ACSF2,0.20804414140860963,NA,0.8351945014555824
Q4G176,ACSF3,0.3589186449535805,NA,0.7196559510676497
P33121,ACSL1,0.920920961019338,NA,0.35709169412828007
O95573,ACSL3,0.7011068934063085,NA,0.48323630868250034
O60488,ACSL4,0.7633815327224841,NA,0.4452358901832246
Q9ULC5,ACSL5,-0.12347030369061072,NA,1.0982653114464547
Q9UKU0,ACSL6,0.37037944052695065,NA,0.7110997903894893
Q53FZ2,ACSM3,-2.1596424151985865,+,1.969199637772506
Q6NUN0,ACSM5,-0.3645996029003342,NA,1.2845896886939616
Q9NUB1,ACSS1,0.2655248655361989,NA,0.79060515716979
Q9NR19,ACSS2,0.35942511623459994,NA,0.7192770883036013
Q9H6R3,ACSS3,-0.4981787310567434,NA,1.3816419278849619
P68133,ACTA1,2.7938140339811266,+,0.005209042478385962
P62736,ACTA2,1.0361987578259264,NA,0.3001094261682193
P60709,ACTB,3.5960158227659003,+,3.2312815379658354e-4
Q562R1,ACTBL2,1.579804411492779,NA,0.1141516650428181
P68032,ACTC1,1.386872653682538,NA,0.16548059786615474
P63261,ACTG1,1.9474223783134963,NA,0.0514841173231927
P63267,ACTG2,-2.838694520302593,+,1.995470149986914
O96019,ACTL6A,0.852384634857513,NA,0.3940006453369319
Q9H568,ACTL8,-0.7379273146491252,NA,1.539441380538356
P12814,ACTN1,2.3445303204636674,+,0.019051061453666945
P35609,ACTN2,2.061898581594076,+,0.0392173926148335
Q08043,ACTN3,-0.5023475016174075,NA,1.3845768991842142
O43707,ACTN4,2.461318586949871,+,0.013842738424119443
Q9NZ32,ACTR10,0.5582118271291494,NA,0.5766997455938151
P61163,ACTR1A,1.5525977451564414,NA,0.1205192646938002
P42025,ACTR1B,0.48850255386627,NA,0.6251939172171814
P61160,ACTR2,1.8190120317839205,NA,0.0689095944830139
P61158,ACTR3,2.009595688168343,+,0.04447399798989827
Q9P1U1,ACTR3B,-0.23736604776810263,NA,1.1876271729240055
Q9H9F9,ACTR5,-0.21078870602421051,NA,1.166947848165283
Q9GZN1,ACTR6,-0.8443893872688799,NA,1.601548149180705
Q9H981,ACTR8,-0.539446936249779,NA,1.4104214979530514
Q8TDG2,ACTRT1,0.15689330548581606,NA,0.875328935966696
Q04771,ACVR1,-0.8379885601148817,NA,1.5979628714965046
P36896,ACVR1B,0.05470510242355492,NA,0.9563734043059874
P27037,ACVR2A,-0.03516075686924801,NA,1.0280484456498427
P37023,ACVRL1,0.0970017429458258,NA,0.9227250103080452
Q03154,ACY1,1.1634254470101848,NA,0.24465692997474073
Q96HD9,ACY3,0.7777251707888242,NA,0.43673105000286766
P07311,ACYP1,0.15365647609951427,NA,0.8778806041675333
P14621,ACYP2,0.02965104141654562,NA,0.9763453580242617
P00813,ADA,0.6435635176348341,NA,0.5198585138792584
Q9NZK5,ADA2,0.0103101299675093,NA,0.9917738522175571
Q6DHV7,ADAL,-0.939512210020208,NA,1.6525321737057905
O14672,ADAM10,0.401264240734811,NA,0.6882255882051993
O43184,ADAM12,0.157951037344397,NA,0.8744953808136948
Q13444,ADAM15,-0.29976988667672166,NA,1.2356473134853776
P78536,ADAM17,0.15482818001218138,NA,0.8769567746520118
Q9P0K1,ADAM22,-0.23201338823030523,NA,1.1834723847970015
Q9UKQ2,ADAM28,-1.7831513001490558,NA,1.9254383224794909
P78325,ADAM8,-1.3942470470037367,NA,1.8367569846551972
Q13443,ADAM9,0.3459232523818848,NA,0.7294003933406401
O15204,ADAMDEC1,0.16217689054445686,NA,0.8711665575498168
Q9UHI8,ADAMTS1,-2.2438263033056103,+,1.9751564206717835
P58397,ADAMTS12,-0.2387559112263927,NA,1.1887051406867184
Q76LX8,ADAMTS13,0.31822980787281174,NA,0.7503106237019372
Q8TE58,ADAMTS15,0.18517440369497584,NA,0.8530922447791933
Q8TE57,ADAMTS16,-2.758919767515662,+,1.994200722876778
O95450,ADAMTS2,-0.657099495184224,NA,1.4888830565107207
O75173,ADAMTS4,-1.1513756197508225,NA,1.7504222606265551
Q9UKP4,ADAMTS7,-1.6314309026846514,NA,1.8972005713103508
Q8N6G6,ADAMTSL1,-2.1007822932844764,+,1.9643399185156958
Q86TH1,ADAMTSL2,-2.000324246055686,+,1.9545347374686162
P82987,ADAMTSL3,0.14982217857313118,NA,0.8809049108848195
Q6UY14,ADAMTSL4,-0.07984337801888668,NA,1.0636381762403595
Q6ZMM2,ADAMTSL5,-1.3705905642885774,NA,1.8294973739778182
O75689,ADAP1,-0.17276080620253517,NA,1.137160554148668
Q9NPF8,ADAP2,-0.9626917867561584,NA,1.6642977803398393
P55265,ADAR,1.2050045361983024,NA,0.22820155072877865
P78563,ADARB1,0.2252804645619873,NA,0.821761096106103
Q9BUB4,ADAT1,-1.1619648081895222,NA,1.7547502399148875
Q7Z6V5,ADAT2,-1.7251534099757406,NA,1.9155001706282981
Q96EY9,ADAT3,-0.3852820646871336,NA,1.2999715518715025
Q86TW2,ADCK1,-1.064418246150041,NA,1.712860728314106
Q3MIX3,ADCK5,-1.915761641157336,NA,1.9446045576556954
O60266,ADCY3,-0.5297436144906378,NA,1.4037102959735424
O43306,ADCY6,-0.6912535691670187,NA,1.5105937952688038
