"gene_ID","gene_name","difference","logpval","significant"
"A1BG","A1BG",-1.21311581652633,1.77491445630185,NA
"A1CF","A1CF",-1.2848129688033,1.80114235065639,NA
"A2M","A2M",1.68631702155433,0.0917347542456747,NA
"A2ML1","A2ML1",0.977949157057871,0.328099470938763,NA
"A3GALT2","A3GALT2",-2.65279463424789,1.99201715762256,"+"
"A4GALT","A4GALT",0.131922760189625,0.895045385937286,NA
"A4GNT","A4GNT",-1.78382514865101,1.92554791826018,NA
"AAAS","AAAS",0.197884140284437,0.843135713031448,NA
"AACS","AACS",0.117583329734231,0.906397814250274,NA
"AADAC","AADAC",-1.70639222419189,1.91206492261448,NA
"AADACL2","AADACL2",-1.06685362588131,1.71396206146166,NA
"AADACL3","AADACL3",-2.65279463424789,1.99201715762256,"+"
"AADAT","AADAT",-0.734178839316173,1.53716025154612,NA
"AAGAB","AAGAB",0.421579255388584,0.673332150615908,NA
"AAK1","AAK1",0.685424775767833,0.493075914251375,NA
"AAMDC","AAMDC",-0.0258109748197092,1.0205918918741,NA
"AAMP","AAMP",0.519087382485263,0.603699806700871,NA
"AANAT","AANAT",-1.74367474337591,1.9187841781438,NA
"AAR2","AAR2",0.154865848918255,0.876927077390698,NA
"AARD","AARD",-1.70639222419189,1.91206492261448,NA
"AARS2","AARS2",0.0946402410056004,0.924600585568299,NA
"AARSD1","AARSD1",0.00573577218215747,0.995423541025138,NA
"AASDH","AASDH",0.0258109748197092,0.979408108125897,NA
"AASDHPPT","AASDHPPT",0.318335356109747,0.750230567827889,NA
"AASS","AASS",0.57357721821576,0.566253931810271,NA
"AATF","AATF",0.260977634288171,0.794109754978538,NA
"AATK","AATK",-0.651010142674887,1.48496006043868,NA
"ABAT","ABAT",0.0401504052751034,0.96797321657507,NA
"ABCA1","ABCA1",1.13855077815828,0.254890568333818,NA
"ABCA10","ABCA10",0.447390230208293,0.654593328602623,NA
"ABCA12","ABCA12",0.0114715443643149,0.990847232608688,NA
"ABCA13","ABCA13",-0.593652420853312,1.44725538794771,NA
"ABCA2","ABCA2",0.100376013187758,0.920045812279725,NA
"ABCA3","ABCA3",-0.07169715227697,1.05715707751425,NA
"ABCA4","ABCA4",-1.00662801796866,1.68588643491034,NA
"ABCA5","ABCA5",0.797272333319906,0.425292884733205,NA
"ABCA6","ABCA6",1.01809956233297,0.308630643323809,NA
"ABCA7","ABCA7",-0.0803008105502062,1.06400198642828,NA
"ABCA8","ABCA8",1.2303231330728,0.218576124985006,NA
"ABCA9","ABCA9",0.831686966412852,0.405585659345249,NA
"ABCB1","ABCB1",-0.226563001195225,1.17923643507566,NA
"ABCB10","ABCB10",0.0975081270966792,0.922322880497525,NA
